,»óÇ°±º,»óÇ°±º2,»ý¼ºÀÏÀÚ,´ëÇ¥»óÇ°ÄÚµå,»óÇ°¸í,»óÇ°ÄÚµå,ÀÌÀü»óÇ°ÄÚµå,º¯°æ»óÇ°ÄÚµå,½Ç¸°´õ NO,À¯»ç ½Ç¸°´õ¹øÈ£,ÃÖÁ¾»ý»êÁö,ÃÖÁ¾»ý»êÁö¸í,Lab No,B/P Type,B/P¹«°Ô,¿øÁÖ,ÆÞ,C/L,Gloss,Surface,Anti-Tape,1Â÷»ý»êÁö,1Â÷»ý»êÁö¸í,ºñ°í,Spec-Out,Spec-OutÀÏÀÚ,±¸ºÐ
46,[1] ¸ð¾çÁö,,,,Smoked Oak FHS,14-10931-105,,,10931,,,,,,,,,,,,,,,,,,·±´×
47,[1] ¸ð¾çÁö,,,,Canyon Red Oak II,14-10955-106,,,10955,,,,,,,,,,,,,,,,,,·±´×
48,[1] ¸ð¾çÁö,,,,Gotland Oak,14-11011-103,,,11011,,,,,,,,,,,,,,,,,,·±´×
49,[1] ¸ð¾çÁö,,,,Burgund Elm,14-12002-003,,,12002,,,,,,,,,,,,,,,,,,·±´×
50,[1] ¸ð¾çÁö,,,,Chestnut,14-12005-140,,,12005,,,,,,,,,,,,,,,,,,·±´×
51,[1] ¸ð¾çÁö,,,,Castagno Carducci,14-12032-002,,,12032,,,,,,,,,,,,,,,,,,·±´×
52,[1] ¸ð¾çÁö,,,,Castagno Carducci,14-12032-003,,,12032,,,,,,,,,,,,,,,,,,·±´×
53,[1] ¸ð¾çÁö,,,,Castagno Carducci,14-12032-004,,,12032,,,,,,,,,,,,,,,,,,·±´×
54,[1] ¸ð¾çÁö,,,,Planked Natural Acacia,14-12034-100,,,12034,,,,,,,,,,,,,,,,,,·±´×
55,[1] ¸ð¾çÁö,,,,Bavarian Beech,14-14001-003,,,14001,,,,,,,,,,,,,,,,,,·±´×
56,[1] ¸ð¾çÁö,,,,Inntal Beech,14-14002-003,,,14002,,,,,,,,,,,,,,,,,,·±´×
57,[1] ¸ð¾çÁö,,,,Mangfall Beech,14-14013-143,,,14013,,,,,,,,,,,,,,,,,,·±´×
58,[1] ¸ð¾çÁö,,,,Rothenburg Beech,14-14022-003,,,14022,,,,,,,,,,,,,,,,,,·±´×
59,[1] ¸ð¾çÁö,,,,Canyon Beech,14-14084-104,,,14084,,,,,,,,,,,,,,,,,,·±´×
60,[1] ¸ð¾çÁö,,,,Thansau Maple,14-16001-133,,,16001,,,,,,,,,,,,,,,,,,·±´×
61,[1] ¸ð¾çÁö,,,,Thansau Maple,14-16001-235,,,16001,,,,,,,,,,,,,,,,,,·±´×
62,[1] ¸ð¾çÁö,,,,Murnau Maple,14-16003-001,,,16003,,,,,,,,,,,,,,,,,,·±´×
63,[1] ¸ð¾çÁö,,,,Vancouver Maple,14-16006-145,,,16006,,,,,,,,,,,,,,,,,,·±´×
64,[1] ¸ð¾çÁö,,,,Vancouver Maple,14-16006-151,,,16006,,,,,,,,,,,,,,,,,,·±´×
65,[1] ¸ð¾çÁö,,,,Montreal Maple,14-16020-001,,,16020,,,,,,,,,,,,,,,,,,·±´×
66,[1] ¸ð¾çÁö,,,,Alberta Maple,14-16027-111,,,16027,,,,,,,,,,,,,,,,,,·±´×
