정산일자,,L PRT,사업장,창고,품목구분,상품군,상품군2,품번,품명,펄,폭/규격,Roll No / Lot No,이전품번,OPEN,location,단위,사용,재고수량,PO 번호,생산지,INV#,,Year
20260119 ,33,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/파티클보드,리바트/사급/파티클보드,,4*8*18*E0/13형,2.02E+15,,Y,,매,사용,7,, ,,,
20260119 ,34,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/파티클보드,리바트/사급/파티클보드,,4*8*15*E0/13형,2.02E+15,,Y,,매,사용,1,, ,,,
20260119 ,35,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/파티클보드,리바트/사급/파티클보드,,4*8*18*E0/15형,2.02E+15,,Y,,매,사용,40,, ,,,
20260119 ,36,N,본사,본사창고,[4] 원자재,[8] board,,리바트/사급/파티클보드,리바트/사급/파티클보드,,4*8*15*E0/15형,2.02E+15,,Y,,매,사용,56,, ,,,
20260119 ,37,N,본사,본사창고,[4] 원자재,[8] board,,사급/MDF보드,사급/MDF보드,,4*8*18*E0/30형,2.02E+15,,Y,[재고]   ,매,사용,11,, ,,,
20260119 ,38,N,본사,본사창고,[4] 원자재,[8] board,,사급/MDF보드,사급/MDF보드,,4*8*18*E0/25형,2.03E+15,,Y,,매,사용,24,, ,,,
20260119 ,39,N,본사,본사창고,[4] 원자재,[8] board,,파티클보드-국내,Particle Board,,(M)4*8*12T*E1,snc221231-01,,N,[재고]   ,매,사용,200,, ,,,
20260119 ,40,N,본사,본사창고,[4] 원자재,[D] PP (opp),,031HG1H,Choco 031,,1250*0.4,ec16062305,,Y,[재고]   ,m,사용,112,, ,,,
20260119 ,41,N,본사,본사창고,[4] 원자재,[D] PP (opp),,031HG1H,Choco 031,,1250*0.4,ec16062306,,N,[재고]   ,m,사용,120,, ,,,
20260119 ,42,N,본사,본사창고,[4] 원자재,[D] PP (opp),,031HG1H,Choco 031,,1250*0.4,ec16062307,,Y,[재고]   ,m,사용,71,, ,,,
20260119 ,43,N,본사,본사창고,[4] 원자재,[D] PP (opp),,031HG1H,Choco 031,,1250*0.4,ec16062308,,N,[재고]   ,m,사용,105,, ,,,
20260119 ,44,N,본사,본사창고,[4] 원자재,[D] PP (opp),,032VW1M,Dark Heavy Grey,,1260*0.4,ec16062142,,Y,[재고]   ,m,사용,20,, ,,,
20260119 ,45,N,본사,본사창고,[4] 원자재,[D] PP (opp),,032VW1M,Dark Heavy Grey,,1250*0.4,ec16062330,,N,[재고]   ,m,사용,80,, ,,,
20260119 ,46,N,본사,본사창고,[4] 원자재,[D] PP (opp),,DE/사급/IPD015,DE/사급/IPD015,,0.1*1270,2.02E+15,,Y,[재고]   ,m,사용,60,, ,,,
20260119 ,47,N,본사,본사창고,[4] 원자재,[D] PP (opp),,DE/사급/TLG0420MU,DE/사급/TLG0420MU,,0.1*1270,2.02E+15,,Y,[재고]   ,m,사용,40,, ,,,
20260119 ,48,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1270*0.2,SJ_R000005,,N,[재고]   ,m,사용,300,, ,,,
20260119 ,49,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1250*0.2,SJ_R000001,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,50,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1250*0.2,SJ_R000008,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,51,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1250*0.2,SJ_R000014,,N,[재고]   ,m,사용,155,, ,,,
20260119 ,52,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1250*0.2,SJ_R000019,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,53,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1250*0.2,SJ_R000035,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,54,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000007,,N,[재고]   ,m,사용,215,, ,,,
20260119 ,55,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000009,,N,[재고]   ,m,사용,205,, ,,,
20260119 ,56,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000021,,N,[재고]   ,m,사용,170,, ,,,
