파일명,파일ID,카카오톡_전송용_URL,추출된_품번
14-50082-001.jpg,1gKCZpao-lFJk2O7qz1-SlWhXBQASfBrM,https://drive.google.com/uc?export=view&id=1gKCZpao-lFJk2O7qz1-SlWhXBQASfBrM,14-50082-001
14-50080-005.jpg,1C_ylx8HucWSrv1fxi_R9_gpB3-3SgcXr,https://drive.google.com/uc?export=view&id=1C_ylx8HucWSrv1fxi_R9_gpB3-3SgcXr,14-50080-005
14-50080-004.jpg,1LyM9bWztdD69TtZZTaRNgOTNR3Kxd_HP,https://drive.google.com/uc?export=view&id=1LyM9bWztdD69TtZZTaRNgOTNR3Kxd_HP,14-50080-004
14-50080-003.jpg,1GnOrWfFC7Bk59B86jXCCM346xP1NcZuk,https://drive.google.com/uc?export=view&id=1GnOrWfFC7Bk59B86jXCCM346xP1NcZuk,14-50080-003
14-50080-002.jpg,1gguA--4_osvRd_Mh2-wepUuHhYnOUfzU,https://drive.google.com/uc?export=view&id=1gguA--4_osvRd_Mh2-wepUuHhYnOUfzU,14-50080-002
14-50080-001.jpg,1bqhNLTwUZlXSzs3DTc6ssAzqYqGgFGT0,https://drive.google.com/uc?export=view&id=1bqhNLTwUZlXSzs3DTc6ssAzqYqGgFGT0,14-50080-001
14-50079-005.jpg,1sJ0xKG2XahHSx5l2QnriKwcGEj_w6GKu,https://drive.google.com/uc?export=view&id=1sJ0xKG2XahHSx5l2QnriKwcGEj_w6GKu,14-50079-005
14-50079-004.jpg,1O3RcPCN4e7h2sucVGcSUXhB-HthMGPzK,https://drive.google.com/uc?export=view&id=1O3RcPCN4e7h2sucVGcSUXhB-HthMGPzK,14-50079-004
14-50079-003.jpg,1XOaNXGaRIhcd-ser5QjV-TnBCo983ZYU,https://drive.google.com/uc?export=view&id=1XOaNXGaRIhcd-ser5QjV-TnBCo983ZYU,14-50079-003
14-50079-002.jpg,1zcpdW5bicXH05LAvEqhM5wQu1JmRWWF6,https://drive.google.com/uc?export=view&id=1zcpdW5bicXH05LAvEqhM5wQu1JmRWWF6,14-50079-002
14-50079-001.jpg,1DRT91lbXLeFR2RYtp9V0EOGQosLWUecq,https://drive.google.com/uc?export=view&id=1DRT91lbXLeFR2RYtp9V0EOGQosLWUecq,14-50079-001
14-50078-004.jpg,1A0UfWSKcvuf_tmIwa4GCdMNeFmU7JCbl,https://drive.google.com/uc?export=view&id=1A0UfWSKcvuf_tmIwa4GCdMNeFmU7JCbl,14-50078-004
14-50078-003.jpg,1O_t7ahwnynQvQQT-o_LbKL_jVTv3FnLa,https://drive.google.com/uc?export=view&id=1O_t7ahwnynQvQQT-o_LbKL_jVTv3FnLa,14-50078-003
14-50078-002.jpg,1_i10_isP39TxoIOI7DLEvlhWBfMinJH8,https://drive.google.com/uc?export=view&id=1_i10_isP39TxoIOI7DLEvlhWBfMinJH8,14-50078-002
14-50078-001.jpg,1Mifi7XFT9S0WKFgoRBKCsEaL-5UayYGB,https://drive.google.com/uc?export=view&id=1Mifi7XFT9S0WKFgoRBKCsEaL-5UayYGB,14-50078-001
14-50056-005.jpg,1XJIo01c11lOSJgwkT2FZs-JHPZtkZuxl,https://drive.google.com/uc?export=view&id=1XJIo01c11lOSJgwkT2FZs-JHPZtkZuxl,14-50056-005
14-50056-004.jpg,1YNlu2INfj5-avdvlfx4WaUGNo02TTE9v,https://drive.google.com/uc?export=view&id=1YNlu2INfj5-avdvlfx4WaUGNo02TTE9v,14-50056-004
14-50056-003.jpg,1jv1VDakJo5okw_t6mg2WtXuVdhtTpJBn,https://drive.google.com/uc?export=view&id=1jv1VDakJo5okw_t6mg2WtXuVdhtTpJBn,14-50056-003
